ID,treatment,Startle_Response_1,Startle_Response_2,dry_weight,nematocyst_length
1,flow,1077,427,0.636,0.045554
2,flow,138,663,0.282,0.0446828
3,flow,113,172,0.644,0.0456864
4,flow,85,814,0.397,0.0438029
5,flow,318,120,0.202,0.0375303
6,flow,95,67,0.329,0.0396488
7,flow,601,157,0.543,0.0463555
8,flow,408,967,1.099,0.0457791
9,no-flow,1252,1219,0.518,0.0381193
10,no-flow,2846,578,0.427,0.0351267
11,no-flow,78,83,0.557,0.0342276
12,no-flow,1414,121,1.81,0.0437409
13,no-flow,1073,148,0.109,0.0362438
15,no-flow,58,109,0.862,0.0473804
16,no-flow,834,218,0.598,0.0493857
17,no-flow,472,233,0.709,0.0453776
18,no-flow,550,108,0.819,0.0489214
19,no-flow,99,160,0.181,0.0412198
21,no-flow,550,595,0.664,0.0421298
22,no-flow,870,136,0.057,0.0189023
24,no-flow,583,488,0.276,0.0477546
25,no-flow,231,119,0.413,0.0465187
27,flow,121,141,0.226,0.0387471
28,flow,378,143,1.026,0.0466356
29,flow,283,481,0.338,0.0485591
30,flow,533,884,1.001,0.0477223
31,flow,326,488,0.327,0.0426455
32,flow,147,182,0.543,0.0397398
33,flow,71,116,0.388,0.037355
34,flow,51,84,0.635,0.0457542
35,flow,149,472,0.486,0.0474445
36,no-flow,194,140,0.448,0.0378997
37,no-flow,783,80,0.489,0.0453759
38,no-flow,4365,488,0.293,0.0398359
39,no-flow,1230,1180,0.68,0.0438964
40,no-flow,206,410,0.172,0.045628
41,no-flow,88,137,1.03,0.042985
42,no-flow,117,165,0.425,0.0408172
43,no-flow,64,909,0.565,0.0421869
44,no-flow,85,598,0.697,0.0433453
46,no-flow,659,405,0.45,0.0469057
47,no-flow,82,189,0.646,0.0394512
48,no-flow,841,227,0.543,0.0481698
49,no-flow,80,316,0.748,0.0389945
50,no-flow,74,647,0.896,0.0484588
51,no-flow,84,169,0.76,0.0490133
52,no-flow,60,619,0.468,0.0392457
53,no-flow,106,371,0.477,0.0447656
54,no-flow,135,138,0.25,0.0453667
55,no-flow,145,34,0.473,0.0391141
56,flow,2798,1120,0.54,0.0385838
57,flow,653,237,0.228,0.0403637
58,flow,598,462,0.437,0.0390112
59,flow,47,2022,0.971,0.0405381
60,flow,528,4539,0.554,0.0393684
61,flow,161,551,0.227,0.0411659
62,flow,84,1339,1.252,0.0403175
63,flow,100,402,0.445,0.053048
64,flow,1034,2293,0.649,0.0416364
65,flow,679,3258,0.739,0.0413615
66,flow,650,653,0.809,0.0427795
67,flow,1260,89,0.503,0.04115
68,flow,701,491,0.757,0.043416
69,flow,288,143,0.32,0.0421778
70,flow,236,310,0.597,0.0432162
71,flow,199,191,0.758,0.0375357
72,flow,250,200,0.375,0.039349
73,flow,210,435,0.478,0.0413028
74,flow,276,129,0.465,0.0405075
75,no-flow,226,180,0.385,0.0403963
76,no-flow,95,136,0.145,0.0418031
77,no-flow,121,393,0.454,0.045266
78,no-flow,81,763,0.504,0.0434352
79,no-flow,286,2122,0.806,0.0437093
80,no-flow,380,2838,0.636,0.0388211
81,no-flow,446,98,0.332,0.0414573
82,no-flow,441,112,0.359,0.0411444
83,no-flow,107,177,0.363,0.037338
84,no-flow,119,393,0.504,0.0452577
85,no-flow,469,1450,0.55,0.0431794
86,no-flow,567,1502,0.282,0.0442416
87,no-flow,101,902,0.364,0.0373571
88,no-flow,107,525,0.522,0.0403044
89,no-flow,103,126,0.53,0.0396451
90,flow,107,6206,0.447,0.0426329
91,flow,146,190,0.245,0.0414191
92,flow,116,92,0.33,0.0432866
93,flow,108,5312,0.303,0.041614
94,flow,101,4892,0.381,0.0433763
95,flow,320,1485,0.519,0.0379495
96,flow,1314,1271,0.269,0.0365812
97,flow,158,1067,0.328,0.0394311
98,flow,2111,548,0.368,0.0403356
99,flow,2012,860,0.293,0.0366271
100,flow,5299,1007,0.673,0.0438886
101,flow,401,185,0.374,0.0422199
102,flow,92,545,0.42,0.0397067
103,flow,122,1654,0.191,0.0401565
104,flow,67,1854,0.307,0.0405425
105,flow,86,826,0.33,0.0372012
106,flow,2421,711,0.251,0.0443651
107,flow,1114,654,0.81,0.0477302
108,flow,1113,2437,0.551,0.0444103
109,flow,911,231,0.679,0.043108
110,no-flow,330,842,0.516,0.0407158
111,no-flow,116,623,0.214,0.0418984
112,no-flow,218,687,0.351,0.0339634
113,no-flow,584,293,0.486,0.0393182
114,no-flow,96,268,0.313,0.0365182
115,no-flow,525,177,0.248,0.0361666
116,no-flow,882,413,0.606,0.0401304
117,no-flow,767,1026,0.401,0.0332779
118,no-flow,119,571,0.45,0.0369925
119,no-flow,880,316,0.542,0.0373961
120,no-flow,179,380,0.363,0.0402822
121,no-flow,120,100,0.693,0.0374339
122,no-flow,356,908,0.199,0.0390514
123,no-flow,704,2775,0.651,0.0329283
124,flow,116,395,0.56,0.0405112
125,flow,89,105,0.447,0.0360669
126,flow,627,1265,0.447,0.0393399
128,flow,54,119,0.392,0.0454493
129,flow,88,143,0.424,0.0381891
130,flow,404,694,0.467,0.0437947
131,flow,40,118,0.511,0.0394404
132,flow,89,105,0.273,0.0364243
133,flow,40,78,0.177,0.0371909
134,flow,284,185,0.319,0.0401329
135,flow,237,159,0.291,0.035807
136,flow,2126,1408,0.363,0.0365854
137,flow,106,285,0.409,0.0383569
138,flow,187,311,0.471,0.0369183
139,no-flow,1560,85,0.272,0.0352164
140,no-flow,786,441,0.265,0.0376472
141,no-flow,150,147,0.672,0.0448892
143,no-flow,935,187,0.205,0.0341967
144,no-flow,111,186,1.085,0.0432349
145,no-flow,728,94,0.58,0.0406646
146,no-flow,79,673,0.472,0.0391406
147,no-flow,1404,191,0.329,0.0366597
148,no-flow,146,514,0.242,0.0398706
149,no-flow,161,422,0.8,0.0404998
